time,test,domain,mean_probability,CI_lower,CI_upper,predicted_probability,n_obs
1.0,0,what,0.8822475836093174,0.8587513993366782,0.9022800249128502,0.8716013357097662,100
26.37,1,what,0.8002707559023993,0.7642417172648817,0.8320041039125883,0.8215340631475249,100
74.53,3,what,0.7414419441366145,0.7007376461560233,0.778360962986052,0.7603767741558457,100
147.13,6,what,0.7185790252331259,0.6792434954096497,0.7548318345451813,0.7002827882911759,100
1.0,0,when,0.09236819682984107,0.07076660390611217,0.11971420124452888,0.09081237500425986,100
26.37,1,when,0.07411040489748329,0.060545092709216,0.09042252917751313,0.07711351968375682,100
74.53,3,when,0.06125971724553262,0.04909966873046455,0.07619003063511402,0.06579391648186116,100
147.13,6,when,0.06184398932008172,0.04504215821636229,0.08435965413639862,0.05765911089109038,100
1.0,0,where,0.614614490124749,0.5789697258985023,0.6490706588615409,0.6057468813010307,100
26.37,1,where,0.5021127416614948,0.4649385645037947,0.5392635759587809,0.5259661282983644,100
74.53,3,where,0.4583255847161794,0.4237846146772496,0.4932718036222701,0.44823122791384534,100
147.13,6,where,0.3796989955599611,0.34617860870964795,0.41440790462081684,0.38595509537068456,100
