time,test,domain,mean_theta,CI_lower,CI_upper,predicted_theta,n_obs
1.0,0,what,0.6854353583399999,0.4864748368142918,0.884395879865708,0.591448718819625,100
26.37,1,what,0.08940166201000001,-0.11239657822330308,0.2911999022433031,0.22156704003270278,100
74.53,3,what,-0.22914667665,-0.4221394557867181,-0.03615389751328191,-0.13270949532833887,100
147.13,6,what,-0.33966137097,-0.5178585060769987,-0.16146423586300132,-0.4242040962636173,100
1.0,0,when,0.20400532970000002,-0.006380194750485846,0.4143908541504859,0.19043529937138903,100
26.37,1,when,0.029739366189999998,-0.12752353631899474,0.18700226869899475,0.06092270154577306,100
74.53,3,when,-0.11845619258500001,-0.28836636148713574,0.05145397631713572,-0.06312581741236434,100
147.13,6,when,-0.111115966739,-0.35404824376362615,0.13181631028562613,-0.16519149188178583,100
1.0,0,where,0.672126964078,0.4941754532030708,0.8500784749529291,0.6273622173286307,100
26.37,1,where,0.12184292928,-0.05697512264912684,0.3006609812091268,0.23651886788459933,100
74.53,3,where,-0.08892473311,-0.2572288831671391,0.07937941694713908,-0.13783497457674299,100
147.13,6,where,-0.47764246621,-0.6518090016116672,-0.3034759308083328,-0.44584894960800275,100
